"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","AV","Round","Forty_Imputed","Vertical_Imputed","BenchReps_Imputed","BroadJump_Imputed","Cone_Imputed","Shuttle_Imputed"
"1","John Saint Clair","C",77,302,5.2,NA,25,NA,NA,NA,0,8,5.2,27.5,25,101,7.68,4.63
"2","Brad Meester","C",75,298,5.12,34,25,110,7.46,4.43,21,2,5.12,34,25,110,7.46,4.43
"3","Matt O'Neal","C",75,277,5.06,27.5,17,94,7.59,4.72,0,8,5.06,27.5,17,94,7.59,4.72
"4","Rob Riti","C",74,293,5.19,29.5,17,106,NA,NA,0,8,5.19,29.5,17,106,7.68,4.63
"5","Roberto Garza","C",74,303,5,32.5,37,114,7.71,4.53,9,4,5,32.5,37,114,7.71,4.53
"6","Ben Hamilton","C",77,303,5.26,33.5,17,106,7.62,4.62,27,4,5.26,33.5,17,106,7.62,4.62
"7","Paul Hogan","C",75,290,5.5,29,26,102,7.78,4.54,0,8,5.5,29,26,102,7.78,4.54
"8","LaShaun Mack","C",75,299,5.56,26.5,17,92,8.59,4.99,0,8,5.56,26.5,17,92,8.59,4.99
"9","Jeff McCurley","C",76,280,5.25,NA,NA,NA,NA,NA,0,8,5.25,27.5,26,101,7.68,4.63
"10","Chukky Okobi","C",73,316,5.27,32.5,24,103,7.87,4.61,4,5,5.27,32.5,24,103,7.87,4.61
"11","Tupe Peko","C",76,300,5.36,28,NA,92,8.1,4.56,8,7,5.36,28,26,92,8.1,4.56
"12","Casey Rabach","C",76,298,5.23,NA,19,NA,NA,NA,9,3,5.23,27.5,19,101,7.68,4.63
"13","Dominic Raiola","C",74,307,5.13,33,29,108,7.55,4.35,13,2,5.13,33,29,108,7.55,4.35
"14","Jason Ball","C",74,301,5.41,29,27,94,7.87,4.73,11,8,5.41,29,27,94,7.87,4.73
"15","LeCharles Bentley","C",74,299,5.19,25.5,NA,103,7.85,4.54,25,2,5.19,25.5,26,103,7.85,4.54
"16","Andy Eby","C",75,300,5.1,29,28,103,7.46,4.55,0,8,5.1,29,28,103,7.46,4.55
"17","Melvin Fowler","C",75,300,5.46,27,32,99,7.51,4.6,8,3,5.46,27,32,99,7.51,4.6
"18","Curt McGill","C",75,290,5.07,NA,30,NA,NA,NA,0,8,5.07,27.5,30,101,7.68,4.63
"19","Seth McKinney","C",75,300,4.97,33.5,23,105,7.36,4.51,10,3,4.97,33.5,23,105,7.36,4.51
"20","Ben Miller","C",74,263,4.92,37.5,18,114,7.28,4.46,0,8,4.92,37.5,18,114,7.28,4.46
"21","Scott Peters","C",75,300,5.07,33.5,36,97,7.68,4.69,1,4,5.07,33.5,36,97,7.68,4.69
"22","Zach Quaccia","C",76,309,5.37,26.5,23,93,7.9,4.63,0,8,5.37,26.5,23,93,7.9,4.63
"23","Jason Scukanec","C",74,304,5.33,29,30,100,7.87,4.59,0,8,5.33,29,30,100,7.87,4.59
"24","Fred Weary","C",76,308,5.37,32,34,104,7.68,4.63,6,3,5.37,32,34,104,7.68,4.63
"25","Lucas Brigman","C",72,308,5.3,27,26,101,7.99,4.67,0,8,5.3,27,26,101,7.99,4.67
