"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Pfr_ID","AV","Team","Round","Pick"
"1","Brian Allen-04","C",73,298,5.34,26.5,27,99,7.81,4.71,2018,"AlleBr02",0,"",NA,NA
"2","Will Clapp","C",76,311,5.39,29,25,97,8.04,4.92,2018,"ClapWi00",0,"",NA,NA
"3","Mason Cole","C",76,307,5.23,23.5,23,104,7.77,4.78,2018,"ColeMa02",0,"",NA,NA
"4","James Daniels","C",75,306,NA,30.5,21,108,7.29,4.4,2018,"DaniJa01",0,"",NA,NA
"5","Billy Price","C",76,305,NA,NA,NA,NA,NA,NA,2018,"PricBi01",0,"",NA,NA
"6","Scott Quessenberry","C",76,310,5.09,33.5,25,111,7.5,4.69,2018,"QuesSc00",0,"",NA,NA
"7","Frank Ragnow","C",77,312,NA,NA,26,NA,NA,NA,2018,"RagnFr00",0,"",NA,NA
"8","Coleman Shelton","C",75,292,5.24,26.5,NA,110,7.62,4.59,2018,"ShelCo00",0,"",NA,NA
"9","Sean Welsh","C",75,306,5.43,25,20,103,7.9,4.81,2018,"WelsSe00",0,"",NA,NA
"10","Jaire Alexander","CB",71,192,4.38,35,14,127,6.71,3.98,2018,"AlexJa00",0,"",NA,NA
"11","Anthony Averett","CB",72,185,4.36,31.5,13,119,6.93,4.4,2018,"AverAn00",0,"",NA,NA
"12","Tony Brown","CB",72,198,4.35,31.5,14,126,6.78,4.11,2018,"",0,"",NA,NA
"13","Chris Campbell","CB",73,194,NA,NA,14,NA,NA,NA,2018,"",0,"",NA,NA
"14","Andre Chachere","CB",72,200,4.49,38,13,123,6.78,4.07,2018,"",0,"",NA,NA
"15","Carlton Davis","CB",73,203,4.53,34,16,124,NA,NA,2018,"DaviCa02",0,"",NA,NA
"16","Duke Dawson","CB",70,208,4.46,NA,15,NA,NA,NA,2018,"DawsDu00",0,"",NA,NA
"17","Dee Delaney","CB",73,194,4.46,32.5,13,120,6.95,4.25,2018,"",0,"",NA,NA
"18","Brandon Facyson","CB",74,197,4.53,NA,16,NA,NA,NA,2018,"FacyBr00",0,"",NA,NA
"19","Rashard Fant","CB",70,175,NA,NA,NA,NA,NA,NA,2018,"",0,"",NA,NA
"20","Rashaan Gaulden","CB",73,193,4.61,30,8,119,7.16,4.33,2018,"GaulRa00",0,"",NA,NA
"21","Grant Haley","CB",69,190,4.44,34,15,119,6.51,3.94,2018,"",0,"",NA,NA
"22","Davontae Harris","CB",72,200,4.43,32.5,22,123,6.96,4.4,2018,"",0,"",NA,NA
"23","Holton Hill","CB",75,200,4.49,31,14,120,6.83,4.15,2018,"HillHo00",0,"",NA,NA
"24","Mike Hughes","CB",71,191,4.53,35.5,20,127,6.7,4.13,2018,"HughMi00",0,"",NA,NA
